Milestone,Issues Count,Contributors Count
Gutenberg 15.0,110,45
Gutenberg 15.1,270,56
Gutenberg 15.2,201,61
Gutenberg 15.3,161,43
Gutenberg 15.4,186,58
Gutenberg 15.5,144,53
Gutenberg 15.6,114,47
Gutenberg 15.7,145,63
Gutenberg 15.8,192,63
Gutenberg 15.9,174,62
Gutenberg 16.0,164,54
Gutenberg 16.1,258,70
Gutenberg 16.2,185,45
Gutenberg 16.3,182,55
Gutenberg 16.4,184,60
Gutenberg 16.5,220,63
Gutenberg 16.6,138,50
Gutenberg 16.7,354,90
Gutenberg 16.8,162,65
Gutenberg 16.9,168,60
Gutenberg 17.0,116,46
Gutenberg 17.1,201,56
Gutenberg 17.2,171,50
Gutenberg 17.3,184,56
Gutenberg 17.4,205,54
Gutenberg 17.5,179,46
Gutenberg 17.6,271,70
Gutenberg 17.7,337,73
Gutenberg 17.8,164,45
Gutenberg 17.9,196,60
Gutenberg 18.0,208,76
Gutenberg 18.1,152,50
Gutenberg 18.2,236,56
Gutenberg 18.3,165,45
Gutenberg 18.4,185,59
Gutenberg 18.5,295,71
Gutenberg 18.6,164,53
Gutenberg 18.7,122,51
Gutenberg 18.8,217,60
Gutenberg 18.9,243,59
Gutenberg 19.0,208,49
Gutenberg 19.1,182,47
Gutenberg 19.2,194,55
Gutenberg 19.3,174,55
Gutenberg 19.4,187,57
Gutenberg 19.5,123,49
